stadt,datensaetze,vorhanden,potential
Aachen,154,36,278
Bad Münstereifel,26,8,306
Bedburg,32,11,303
Bergheim,32,11,303
Bonn,589,146,168
Brühl,34,12,302
Dormagen,185,29,285
Dortmund,153,35,279
Duisburg,85,36,278
Düsseldorf,439,98,216
Elsdorf,30,11,303
Gelsenkirchen,145,41,273
Gemeinde Wachtendonk,16,7,307
Heimbach,28,9,305
Hürtgenwald,30,10,304
Jühlich,34,11,303
Kall,34,11,303
Kerpen,72,14,300
Kreis Kleve,332,33,281
Kreis Viersen,22,8,306
Kreis Wesel,88,15,299
Kreuzau,36,11,303
Köln,561,138,176
Langerwehe,32,10,304
Linnich,28,10,304
Meerbusch,87,29,285
Merzenich,34,12,302
Neuss,101,27,287
Niederzier,30,10,304
Nörvenich,32,10,304
Siegburg,14,7,307
Stadt Bottrop,76,10,304
Stadt Kleve,72,25,289
Stadt Krefeld,102,34,280
Stadt Moers,704,115,199
Titz,34,11,303
Vettweiß,34,11,303
Wesseling,30,10,304
Wuppertal,159,43,271
